구,동,학교명,학업성취도,도로명주소,X좌표(경도),Y좌표(위도)
성동구,성수동2가,경수중학교,68.6,서울 성동구 뚝섬로13길 14,127.058353381779,37.5395673380555
동대문구,장안동,동국대학교사범대학부속중학교,68.4,서울 동대문구 장안벚꽃로 201,127.075667885359,37.5780084578762
성북구,정릉동,고려대학교사범대학부속중학교,68.4,서울 성북구 정릉로 161,127.001032899831,37.6103891190394
강동구,천호동,동신중학교,68.1,서울 강동구 진황도로 72,127.134316913705,37.5368275975969
동대문구,청량리동,청량중학교,68.0,서울 동대문구 왕산로 301,127.051099679744,37.5880659229738
관악구,신림동,남서울중학교,67.9,서울 관악구 남부순환로172길 97,126.921249614083,37.4821038626225
중랑구,망우동,영란여자중학교,67.8,서울 중랑구 망우로73길 56,127.104503559337,37.6035421855316
영등포구,대림동,영남중학교,67.8,서울 영등포구 대림로31나길 17,126.89659398526852,37.497737155264105
성북구,하월곡동,숭곡중학교,67.8,서울 성북구 종암로 208,127.031285209639,37.6085217307521
강북구,번동,번동중학교,67.8,서울 강북구 오현로35길 87,127.036157677801,37.6325154413651
관악구,신림동,남강중학교,67.2,서울 관악구 난곡로34길 80,126.92506805066,37.4716005756348
은평구,구산동,구산중학교,67.2,서울 은평구 갈현로15길 20-23,126.908996804276,37.6098098387089
광진구,자양동,신양중학교,67.1,서울 광진구 자양강변길 73,127.063363038023,37.5335136376514
도봉구,쌍문동,백운중학교,67.1,서울 도봉구 도봉로129길 50,127.035802130828,37.656506950914
도봉구,도봉2동,도봉중학교,67.1,서울 도봉구 마들로 671,127.045715631147,37.6707894805097
구로구,개봉동,개봉중학교,66.9,서울 구로구 고척로21나길 68,126.842188874755,37.5028127353151
동작구,사당4동,남성중학교,66.7,서울 동작구 남부순환로269길 166,126.97244097358,37.4790454417324
중랑구,망우동,송곡여자중학교,66.6,서울 중랑구 양원역로 67,127.104987207034,37.6060212799564
양천구,신월2동,신남중학교,66.5,서울 양천구 중앙로29길 109,126.848346299336,37.5204047854605
은평구,응암동,영락중학교,66.5,서울 은평구 백련산로 134-6,126.925182582784,37.5969586751597
은평구,신사동,상신중학교,66.3,서울 은평구 증산로15길 61,126.906439619423,37.5898130568815
동대문구,장안동,장평중학교,66.2,서울 동대문구 답십리로72길 158,127.070766569089,37.5666445463663
강북구,수유동,화계중학교,66.1,서울 강북구 화계사길 63,127.009974049893,37.6324160456611
은평구,불광동,연신중학교,66.0,서울 은평구 연서로33길 16-32,126.924965760426,37.6234259924033
강동구,천호동,천호중학교,65.7,서울 강동구 상암로 153,127.139317590978,37.5463759981614
관악구,봉천동,봉림중학교,65.5,서울 관악구 장군봉길 72,126.938210159351,37.4807047719565
광진구,중곡동,용곡중학교,65.5,서울 광진구 용마산로22길 76,127.088935243662,37.5661168883261
동대문구,휘경동,휘경중학교,65.3,서울 동대문구 망우로18나길 20,127.062058823168,37.5870839939152
성동구,성수동2가,성원중학교,65.3,서울 성동구 성덕정9가길 13,127.052342674179,37.5392602112427
금천구,독산동,가산중학교,65.3,서울 금천구 시흥대로115길 48,126.894386411848,37.4689137496275
동작구,상도동,강현중학교,65.2,서울 동작구 상도로13라길 22,126.9307637126858,37.503060037660624
강서구,공항동,송정중학교,65.2,서울 강서구 남부순환로 121,126.815096496822,37.5540007233479
강서구,방화동,방화중학교,65.0,서울 강서구 개화동로27길 9,126.80663821025,37.5653433241133
관악구,봉천동,당곡중학교,64.9,서울 관악구 봉천로13길 101,126.933170957487,37.4922349320296
중랑구,면목동,면목중학교,64.8,서울 중랑구 용마산로70길 37,127.096088272341,37.5833130677651
금천구,시흥동,문일중학교,64.8,서울 금천구 시흥대로47길 45,126.899073575709,37.4501047164247
중랑구,면목동,용마중학교,64.6,서울 중랑구 면목로28길 18,127.086001734623,37.5743073053725
강북구,수유동,인수중학교,64.2,서울 강북구 인수봉로75길 10,127.00971722948,37.6437864976942
양천구,신월동,양강중학교,64.1,서울 양천구 중앙로 319,126.849432421974,37.5248246881521
구로구,고척동,오류중학교,63.9,서울 구로구 고척로27바길 19,126.846508094312,37.5077018707347
성북구,석관동,석관중학교,63.9,서울 성북구 한천로 526,127.066583774768,37.6081250748608
중랑구,중화동,중랑중학교,63.9,서울 중랑구 동일로140길 33,127.0813806096129,37.60529750358918
동대문구,전농1동,동대문중학교,63.8,서울 동대문구 사가정로 59,127.05239464675,37.5747126304285
금천구,독산동,세일중학교,63.8,서울 금천구 시흥대로147길 34,126.895698937273,37.4745372181855
성북구,안암동2가,용문중학교,63.7,서울 성북구 고려대로17가길 46,127.0244393454993,37.588738485266546
중랑구,중화1동,장안중학교,63.7,서울 중랑구 동일로 780,127.081289752229,37.6008971304595
관악구,신림동,신림중학교,63.6,서울 관악구 신림로 40,126.945371969491,37.4706205952101
성북구,성북동,홍익대학교사범대학부속중학교,63.5,서울 성북구 성북로14가길 23,127.00272774191963,37.59372166853255
강북구,수유동,수유중학교,63.5,서울 강북구 인수봉로37길 40,127.010780593847,37.6318573634638
관악구,신림동,신관중학교,63.3,서울 관악구 신림로48길 17-16,126.934258023384,37.4801800538491
은평구,증산동,증산중학교,63.1,서울 은평구 증산로5길 27-30,126.904196550075,37.5836881123706
금천구,독산동,난곡중학교,62.8,서울 금천구 문성로 67,126.91091613225,37.477923050104
구로구,구로동,영서중학교,62.7,서울 구로구 도림로20길 35,126.894362186495,37.4893377980768
양천구,신월동,신화중학교,62.6,서울 양천구 남부순환로29길 35,126.83010510605,37.5410957561923
강서구,화곡동,화원중학교,62.1,서울 강서구 강서로17나길 86,126.842574485942,37.5367522012099
노원구,월계동,월계중학교,61.6,서울 노원구 월계로45가길 54,127.052529152001,37.6307902074877
금천구,독산동,문성중학교,61.6,서울 금천구 독산로102길 78,126.907885083458,37.4751672412331
중랑구,면목동,중화중학교,61.3,서울 중랑구 용마산로 364,127.095279230346,37.5845534898844
영등포구,대림동,대림중학교,60.3,서울 영등포구 시흥대로185길 6,126.907750821978,37.4924196433746
강북구,번동,수송중학교,60.2,서울 강북구 한천로122길 21,127.033966372716,37.636891278005
영등포구,신길동,대영중학교,59.3,서울 영등포구 도림로80가길 14,126.904887374275,37.5033627951705
금천구,시흥동,한울중학교,58.9,서울 금천구 독산로50길 60,126.907095854101,37.4624803943462
중구,인현동2가,덕수중학교,58.1,서울 중구 마른내로9길 10,126.997224619126,37.5654259523093
성북구,장위동,남대문중학교,56.5,서울 성북구 한천로 660-30,127.055859766377,37.6186289580233
도봉구,방학동,방학중학교,56.1,서울 도봉구 시루봉로 188,127.031381701554,37.6656297458357
종로구,혜화동,동성중학교,55.9,서울 종로구 대학로 156,127.002567809019,37.5856658990268
구로구,개봉동,개웅중학교,55.4,서울 구로구 개봉로11길 81,126.851108353769,37.4875468554066
중랑구,망우동,봉화중학교,54.2,서울 중랑구 망우로70길 89,127.104171604165,37.5961291294239
은평구,응암동,충암중학교,52.6,서울 은평구 가좌로5길 5,126.921933614713,37.5852472792404
중랑구,망우동,동원중학교,51.9,서울 중랑구 양원역로 32,127.10883448463,37.6038121720786
양천구,신월동,신원중학교,51.4,서울 양천구 가로공원로55길 19,126.824140426068,37.5369568443995
양천구,신월동,양서중학교,49.5,서울 양천구 남부순환로 380,126.82898840221,37.532628353514
