구,동,학교명,학업성취도,도로명주소,X좌표(경도),Y좌표(위도)
강남구,신사동,신구중학교,82.6,서울 강남구 압구정로36길 17,127.032237703544,37.5271723736614
관악구,봉천동,구암중학교,82.6,서울 관악구 성현로 53,126.948490290294,37.492905745776
성북구,동소문동1가,삼선중학교,82.5,서울 성북구 동소문로3길 69,127.00774475460221,37.59115451980146
성동구,성수동1가,성수중학교,82.4,서울 성동구 서울숲길 18,127.038940917595,37.5471869782801
구로구,오류동,오남중학교,82.4,서울 구로구 오리로9길 25,126.837070290622,37.4871787394215
송파구,풍납동,풍납중학교,82.4,서울 송파구 올림픽로43길 20,127.11654930778,37.5256488309231
관악구,봉천동,서울문영여자중학교,82.4,서울 관악구 관악로 85,126.951555638247,37.4739858624911
강동구,성내동,성내중학교,82.2,서울 강동구 성안로7길 36,127.129800528886,37.5292065800993
강서구,등촌동,등명중학교,82.0,서울 강서구 공항대로39길 39,126.843294858665,37.5601682911461
강동구,둔촌동,동북중학교,82.0,서울 강동구 강동대로 305,127.140540725929,37.5203860956357
송파구,거여동,거원중학교,82.0,서울 송파구 양산로2길 30,127.146540477381,37.4879065938952
노원구,상계동,상원중학교,81.9,서울 노원구 수락산로 182,127.05946315529,37.6715978366926
송파구,오금동,세륜중학교,81.8,서울 송파구 양재대로72길 41,127.131000084599,37.5086948321193
중구,신당동,한양중학교,81.7,서울 중구 을지로 299,127.01086160889244,37.5657354279555
영등포구,문래동6가,문래중학교,81.6,서울 영등포구 선유서로13길 6,126.8841916952,37.5205174517901
마포구,신수동,광성중학교,81.5,서울 마포구 신수로8길 20,126.93654923893956,37.54891527905734
영등포구,양평동3가,선유중학교,81.4,서울 영등포구 선유로 213,126.894477044084,37.5330618235163
중구,정동,창덕여자중학교,81.4,서울 중구 정동길 22,126.969334590307,37.566387870132
노원구,공릉동,한천중학교,81.3,서울 노원구 공릉로 265,127.072364148995,37.6314320236442
서대문구,북아현동,중앙여자중학교,81.2,서울 서대문구 북아현로11가길 7,126.952594263538,37.5620899891163
광진구,자양동,자양중학교,81.2,서울 광진구 뚝섬로41길 33,127.074606675947,37.5355505392486
송파구,송파동,일신여자중학교,81.2,서울 송파구 송파대로38길 8,127.113240157443,37.5008456179046
구로구,구로동,구일중학교,81.1,서울 구로구 구일로 90-133,126.874080519619,37.4952069025668
성북구,종암동,서울대학교사범대학부설중학교,81.1,서울 성북구 월곡로 36,127.03916779620215,37.59580460074253
양천구,목동,영도중학교,81.0,서울 양천구 목동중앙남로 27,126.865992517232,37.5358909092134
노원구,공릉동,공릉중학교,80.9,서울 노원구 노원로1길 42,127.083700980477,37.6223894338436
성동구,행당동,무학중학교,80.6,서울 성동구 행당로 120,127.032051628037,37.5576262109444
서초구,우면동,영동중학교,80.5,서울 서초구 성촌길 14,127.025175845238,37.4658083299588
동대문구,전농동,전농중학교,80.5,서울 동대문구 사가정로13길 71,127.059704137564,37.5818089929221
동작구,흑석동,중앙대학교사범대학부속중학교,80.5,서울 동작구 서달로 124,126.961294060112,37.50416240107
노원구,상계동,수락중학교,80.4,서울 노원구 동일로 1729,127.054697444806,37.68327322524
용산구,청파동3가,신광여자중학교,80.4,서울 용산구 청파로 263,126.970185907783,37.5433369629498
중구,신당동,대경중학교,80.2,서울 중구 매봉18길 111,127.0171539277391,37.5565021675095
금천구,시흥동,동일중학교,80.1,서울 금천구 탑골로10길 45,126.917040489912,37.4522595013441
강동구,길동,신명중학교,80.0,서울 강동구 명일로24길 25,127.149537456547,37.5414908976502
강남구,수서동,수서중학교,80.0,서울 강남구 광평로59길 57,127.102514829977,37.4910704831041
서대문구,연희동,연북중학교,80.0,서울 서대문구 연희로36길 32,126.938311377372,37.5775192420191
중구,신당동,장충중학교,79.7,서울 중구 동호로15길 93,127.006197185333,37.5531794703226
강동구,강일동,강명중학교,79.7,서울 강동구 상일로12길 56,127.17507913039,37.5554536902756
송파구,장지동,문현중학교,79.6,서울 송파구 충민로 99,127.127776376749,37.4806518374859
관악구,봉천동,인헌중학교,79.6,서울 관악구 인헌9길 35,126.9693546126,37.47320613842
송파구,풍납동,영파여자중학교,79.6,서울 송파구 올림픽로 565,127.120448430524,37.533134040036
동작구,본동,동양중학교,79.5,서울 동작구 흑석로9길 94,126.956133389994,37.5101396663338
양천구,신월동,강신중학교,79.4,서울 양천구 남부순환로 604,126.838742199647,37.5152347251676
동대문구,신설동,대광중학교,79.3,서울 동대문구 안암로 6,127.024806210693,37.5785634913082
성북구,정릉3동,북악중학교,79.3,서울 성북구 정릉로12길 41,127.001879968915,37.6068139822044
중랑구,상봉동,상봉중학교,79.3,서울 중랑구 상봉중앙로8나길 28,127.090286344277,37.6014239773732
은평구,갈현동,선일여자중학교,79.2,서울 은평구 갈현로29길 27,126.91274059679,37.6198785073888
강동구,암사동,신암중학교,79.2,서울 강동구 고덕로 65,127.133079027119,37.5558797093339
동작구,신대방동,문창중학교,79.1,서울 동작구 여의대방로22나길 40,126.922248348918,37.4959079603458
성동구,성수동1가,경일중학교,79.0,서울 성동구 성수일로 27,127.048670413187,37.5435901844374
서초구,방배동,이수중학교,78.9,서울 서초구 방배중앙로3길 32,126.990136536673,37.4811782296789
마포구,성산동,홍익대학교사범대학부속여자중학교,78.9,서울 마포구 성미산로 51,126.913543825878,37.5600496193036
성동구,옥수동,옥정중학교,78.9,서울 성동구 한림말길 11,127.012229512773,37.5415921541117
송파구,오금동,보인중학교,78.8,서울 송파구 오금로49길 18,127.138006754263,37.4982279887818
동대문구,휘경동,전동중학교,78.8,서울 동대문구 장안벚꽃로 291,127.071069682159,37.5854535215831
노원구,중계동,중원중학교,78.8,서울 노원구 공릉로 420,127.068021044909,37.6442718397897
구로구,고척동,고척중학교,78.6,서울 구로구 중앙로3길 20,126.862152459954,37.5002031788672
성동구,마장동,마장중학교,78.5,서울 성동구 마장로35나길 31,127.041944953123,37.5687089705147
노원구,월계동,광운중학교,78.4,서울 노원구 광운로1길 24,127.05587747162315,37.62109765587682
금천구,독산동,안천중학교,78.4,서울 금천구 한내로 69-44,126.887427974873,37.4595512258661
광진구,구의동,동국대학교사범대학부속가람중학교,78.2,서울 광진구 광나루로36길 47,127.087341127698,37.5424939226997
동대문구,전농동,전일중학교,78.2,서울 동대문구 사가정로13길 67,127.058522197486,37.5818167927529
서초구,양재동,언남중학교,78.0,서울 서초구 동산로 55,127.044147605822,37.4725567418696
강동구,상일동,상일여자중학교,77.9,서울 강동구 천호대로219길 61,127.170394160475,37.549665331233
관악구,신림동,삼성중학교,77.8,서울 관악구 신림로3가길 39-24,126.943013936694,37.4675200046184
강동구,강일동,강동중학교,77.8,서울 강동구 풍산로 237,127.17788002336977,37.56967441970801
종로구,송현동,덕성여자중학교,77.8,서울 종로구 율곡로3길 49,126.98190952632,37.577660113364
강서구,등촌동,등원중학교,77.8,서울 강서구 화곡로65길 50,126.8517252414,37.5598115729951
동작구,상도동,국사봉중학교,77.6,서울 동작구 양녕로20길 20,126.943989223656,37.493610087073
동작구,상도동,장승중학교,77.5,서울 동작구 장승배기로10가길 25,126.940611399134,37.5037645792242
노원구,중계동,재현중학교,77.4,서울 노원구 덕릉로82길 64,127.080816101766,37.6612995462616
성북구,종암1동,종암중학교,77.4,서울 성북구 종암로5길 80-17,127.03228886702,37.5933307580726
관악구,신림동,광신중학교,77.4,서울 관악구 광신길 141,126.925097003497,37.4652430621285
관악구,봉천동,봉원중학교,77.4,서울 관악구 관악로24가길 15,126.958590877742,37.4840257807089
은평구,갈현2동,대성중학교,77.2,서울 은평구 갈현로29길 51-24,126.909407286189,37.6224708388511
노원구,상계동,온곡중학교,77.2,서울 노원구 노원로 492,127.064509001926,37.6605743906422
은평구,구산동,예일여자중학교,77.0,서울 은평구 연서로 117,126.915972551659,37.6105213870954
성동구,마장동,동마중학교,76.9,서울 성동구 마조로11길 18,127.039935958803,37.5627018257423
마포구,노고산동,창천중학교,76.9,서울 마포구 백범로1길 56,126.939094978874,37.5550163763589
중구,신당동,장원중학교,76.9,서울 중구 동호로15길 93-34,127.005486503279,37.5535218847108
광진구,자양동,광양중학교,76.8,서울 광진구 자양로3길 7,127.085711597685,37.5305298330056
서대문구,충정로2가,인창중학교,76.6,서울 서대문구 경기대로 65,126.964205329834,37.5653304591007
강서구,등촌동,마포중학교,76.6,서울 강서구 화곡로 403,126.852879255063,37.5600256517208
구로구,개봉동,경인중학교,76.3,서울 구로구 경인로 301,126.854746768353,37.4981616367083
강서구,방화동,방원중학교,76.1,서울 강서구 금낭화로 268,126.808679866483,37.5760648750354
서대문구,연희동,서연중학교,76.1,서울 서대문구 연희로11마길 9-6,126.927470594338,37.5682904965353
광진구,자양동,광진중학교,76.1,서울 광진구 뚝섬로64길 45,127.089587144011,37.5320190144575
송파구,오금동,오주중학교,76.0,서울 송파구 동남로 281,127.136497245209,37.5014445301323
마포구,합정동,성산중학교,75.9,서울 마포구 성지1길 32-13,126.915929994498,37.5476680309745
강동구,고덕동,배재중학교,75.8,서울 강동구 고덕로 227,127.149606647946,37.555730180714
중랑구,묵동,태릉중학교,75.4,서울 중랑구 공릉로2길 60-25,127.08327769075,37.6125545493253
강북구,수유3동,강북중학교,75.2,서울 강북구 한천로150길 67,127.026305887171,37.6451390450464
동대문구,회기동,경희중학교,75.1,서울 동대문구 경희대로 26,127.054881382291,37.5943207141803
도봉구,창동,창북중학교,75.1,서울 도봉구 노해로62길 33,127.038359984824,37.6500406955854
용산구,서계동,배문중학교,75.1,서울 용산구 효창원로 258,126.963891319163,37.5499052902713
강북구,미아동,성암여자중학교,75.0,서울 강북구 도봉로29길 52,127.024099703901,37.6204236741663
동작구,대방동,영등포중학교,75.0,서울 동작구 등용로8길 5,126.933781692452,37.507473089242
은평구,불광동,불광중학교,74.9,서울 은평구 불광로 180,126.932179296878,37.6233150325635
마포구,성산동,성사중학교,74.8,서울 마포구 모래내로9길 16,126.912968315881,37.568309528171
관악구,신림동,미성중학교,74.8,서울 관악구 문성로16길 40,126.912108455027,37.4753867005167
송파구,오금동,오금중학교,74.8,서울 송파구 오금로35길 20,127.128899688892,37.5053598223089
용산구,용산동2가,보성여자중학교,74.8,서울 용산구 신흥로3가길 66,126.984448138602,37.542525198976
강북구,미아동,창문여자중학교,74.8,서울 강북구 월계로 61,127.036750964316,37.6133891003557
중랑구,망우동,혜원여자중학교,74.7,서울 중랑구 봉우재로58길 39,127.096725229285,37.5925927686541
성북구,상월곡동,월곡중학교,74.7,서울 성북구 장월로 6,127.048095537204,37.6068834840817
마포구,아현동,아현중학교,74.6,서울 마포구 마포대로 247,126.956921460111,37.5558531437752
은평구,신사동,숭실중학교,74.6,서울 은평구 은평터널로7길 6,126.905348202694,37.5933296587156
용산구,용산동2가,용산중학교,74.4,서울 용산구 두텁바위로 74,126.981007374789,37.5460241771465
강서구,공항동,공항중학교,74.4,서울 강서구 방화대로 241,126.815341532762,37.5629353828473
