store_name,store_addr
"A
                                신흥DT점",인천 중구 신흥동3가 7-227
김해외동DT점,경남 김해시 외동 238-3
서판교 DT,경기 성남시 분당구 운중동 1017
목원대점,대전 유성구 용계동 664-8
포항북부 DT,경북 포항시 북구 두호동 724
평촌호계점,경기 안양시 동안구 호계동 1058-3
전농,서울 동대문구 전농동 295-96
충남보령DT,충남 보령시 궁촌동 345-4
창원사파DT,경남 창원시 성산구 사파동 97-4
방촌 DT,대구 동구 방촌동 883-9
울산호계SK DT점,울산 북구 신천동 452-1
"C
                                철산역점",경기 광명시 철산동 404
송탄,경기 평택시 신장동 302-1
분당효자점,경기 성남시 분당구 서현동 305-2
위례신도시,서울 송파구 장지동 896
동성로 2,대구 중구 사일동 77
진주가좌DT,경남 진주시 가좌동 644-3
익산영등DT점,전북 익산시 영등동 747-8
서산DT,충남 서산시 예천동 524-26
충남논산DT,충남 논산시 내동 343-1
울산 병영,울산 중구 남외동 441-2
석촌역,서울 송파구 송파동 84
달맞이 DT,부산 해운대구 중동 1777-5
의왕오전DT,경기 의왕시 오전동 207-1
진주신안,경남 진주시 신안동 582-3
제천DT점,충북 제천시 청전동 165-5
울산옥동 DT,울산 남구 신정동 1639-36
제주중문DT,제주특별자치도 서귀포시 색달동 2558-1
연희 DT,인천 서구 심곡동 255-2
압구정CGV,서울 강남구 신사동 603-2
서면 3,부산 부산진구 부전동 172-6
대구 다사DT,대구 달성군 다사읍 죽곡리 5-23
"B
                                대전부사DT",대전 중구 부사동 87-14
마리오 아울렛,서울 금천구 가산동 60-22
"B
                                김해삼계 DT",경남 김해시 삼계동 1460-5
용산 DT,대구 달서구 용산동 934
신사역,서울 강남구 신사동 514-15
김해삼정 DT,경남 김해시 삼정동 616-3
제주외도DT,제주특별자치도 제주시 외도이동 345-1
수원탑동 DT,경기 수원시 권선구 탑동 452-1
화성봉담DT,경기 화성시 기안동 357-5
칠곡2 DT,대구 북구 읍내동 1385-2
명동 2호점,서울 중구 회현동3가 1-5
양산물금DT점,경남 양산시 물금읍 범어리 772-12
세이브존 노원,서울 노원구 하계동 284
광명DT,경기 광명시 광명동 754-4
진해용원DT,경남 창원시 진해구 용원동 1213-19
송파잠실DT,서울 송파구 잠실동 305-15
"C
                                수원정자DT",경기 수원시 장안구 정자동 76-18
동묘,서울 종로구 창신동 290
목동,서울 양천구 신정동 899-6
안산고잔 DT,경기 안산시 단원구 고잔동 705-5
강남구청,서울 강남구 논현동 242-29
한티역,서울 강남구 대치동 938-22
안암,서울 성북구 안암동5가 102-33
제주월드컵스타디움DT,제주특별자치도 서귀포시 강정동 231-1
서울번동DT점,서울 강북구 번동 106
경주보문DT,경북 경주시 신평동 436
"B
                                대구희망DT점",대구 수성구 중동 70-10
중동DT점,경기 부천시 중동 1142-9
"E
                                미아역",서울 강북구 미아동 197-5
"D
                                부산명지DT점",부산 강서구 명지동 3420-7
이수점,서울 동작구 사당동 147-29
선릉,서울 강남구 역삼동 707-27
울산서동DT,울산 중구 서동 53-3
여수미평 DT,전남 여수시 미평동 590-2
전주중화산점,전북 전주시 완산구 중화산동2가 648-11
"D
                                세이브존 대전점",대전 서구 둔산동 1809
당감 DT,부산 부산진구 당감동 282-30
통영죽림DT,경남 통영시 광도면 죽림리 1569-1
마석DT,경기 남양주시 화도읍 마석우리 481-2
중계,서울 노원구 중계동 359-14
야탑 뉴코아,경기 성남시 분당구 야탑동 357-1
"C
                                경주용강 DT",경북 경주시 용강동 875
포항장성DT점,경북 포항시 북구 장성동 1576-5
제주일도 DT,제주특별자치도 제주시 일도이동 369-11
부산수영SK DT점,부산 수영구 수영동 450-9
우장산DT,서울시 강서구 화곡동 1026
등촌 DT,서울 강서구 등촌동 630
충남당진DT,충남 당진시 읍내동 423-39
울산 삼산로 DT,울산 남구 달동 1253-1
사천DT,경남 사천시 사천읍 수석리 320-11
양재,서울 서초구 양재동 24
수원화성DT점,경기 수원시 팔달구 우만동 490-4
양재 SK DT,서울 서초구 양재동 81
전주인후DT점,전북 전주시 덕진구 인후동2가 1529-4
과학기술대점,서울 노원구 공릉동 435-2
용인동백DT,경기 용인시 기흥구 상하동 455-2
부산온천 SK DT,부산 동래구 온천동 1431-4
"E
                                평택소사벌점",경기 평택시 비전동 1090-2
수원 망포DT,경기 수원시 영통구 망포동 21-1
가야,부산 부산진구 가야동 50-4
평내 DT,경기 남양주시 평내동 246-21
오리역점,경기 성남시 분당구 구미동 157
한양대,서울 성동구 행당동 31-7
진해,경남 창원시 진해구 화천동 48-15
부산구서DT,부산 금정구 구서동 163-2
덕소,경기 남양주시 와부읍 덕소리 474-5
