brand,place_name,address_name,lng,lat
KFC,KFC 용산아이파크몰점,서울 용산구 한강로3가 40-999,126.9646673672988,37.52888249071998
KFC,KFC 가산디지털점,서울 금천구 가산동 459-11,126.88145256841506,37.48147777132914
KFC,KFC 하안동점,경기 광명시 하안동 51,126.880208904617,37.4616344756764
KFC,KFC 철산역점,경기 광명시 철산동 245-5,126.868682726462,37.4766871206159
KFC,KFC 숙대입구점,서울 용산구 갈월동 69-3,126.971724267043,37.5447915542961
KFC,KFC 왕십리역사점,서울 성동구 행당동 168-151,127.03825082971777,37.560850835655465
KFC,KFC 신금호역점,서울 성동구 금호동2가 448,127.01987634432092,37.554345653258736
KFC,KFC 별내북부점,경기 남양주시 별내동 827-4,127.116470836206,37.6670486189633
KFC,KFC 별내역점,경기 남양주시 별내동 1006-1,127.125451560188,37.6458483211407
KFC,KFC 의정부엔터점,경기 의정부시 의정부동 494,127.0442151080342,37.73795501930704
KFC,KFC153작은도서관,경기 의정부시 의정부동 486-7,127.03944936101,37.7385450437171
KFC,KFC 충무로역점,서울 중구 충무로4가 125-3,126.99562208074337,37.56183543313603
KFC,KFC 청계천점,서울 종로구 서린동 88,126.98147010143195,37.56925646598366
KFC,KFC 광화문점,서울 종로구 세종로 161-1,126.97594775188335,37.57153949323709
KFC,KFC 시청역점,서울 중구 태평로2가 330-2,126.976125768917,37.5635170629693
KFC,KFC 응암점,서울 은평구 응암동 88-10,126.92190632299268,37.600531684386624
KFC,KFC 연신내역점,서울 은평구 대조동 185-24,126.920530649324,37.6184280146666
KFC,KFC 위례중앙점,경기 성남시 수정구 창곡동 505,127.14105594417825,37.47316556400687
KFC,KFC 구리돌다리점,경기 구리시 인창동 280-8,127.139853813148,37.6007737886929
맥도날드,맥도날드 강남2호점,서울 강남구 역삼동 822-2,127.02873329209403,37.49864658673187
맥도날드,맥도날드 강남삼성DT점,서울 강남구 삼성동 113-7,127.04733263226441,37.5109122911237
맥도날드,맥도날드 강남구청점,서울 강남구 논현동 242-29,127.041413345131,37.5162457553437
맥도날드,맥도날드 신사역점,서울 강남구 신사동 514-15,127.02192751652281,37.51741507668443
맥도날드,맥도날드 선릉점,서울 강남구 역삼동 707-27,127.04690276073,37.5035719753543
맥도날드,맥도날드 삼성역점,서울 강남구 삼성동 158-15,127.0588583663039,37.508318524270145
맥도날드,맥도날드 압구정CGV점,서울 강남구 신사동 603-2,127.02884728131978,37.524500878091644
맥도날드,맥도날드 한티역점,서울 강남구 대치동 938-22,127.055203851041,37.4973154064777
맥도날드,맥도날드 코엑스점,서울 강남구 삼성동 159-9,127.06221843210947,37.50944125601357
맥도날드,맥도날드 송파잠실DT점,서울 송파구 잠실동 305-15,127.0769766588255,37.50435990313616
맥도날드,맥도날드 양재SK DT점,서울 서초구 양재동 81,127.039547238523,37.4781698603516
맥도날드,맥도날드 양재점,서울 서초구 양재동 24,127.03582400254028,37.48232289779557
맥도날드,맥도날드 서초뱅뱅점,서울 서초구 서초동 1338-20,127.030851298504,37.4900981996362
맥도날드,맥도날드 신천점,서울 송파구 잠실동 181-9,127.082839452637,37.5114234178882
맥도날드,맥도날드 서울교대점,서울 서초구 서초동 1674-5,127.01620222091923,37.49416826383995
맥도날드,맥도날드 잠실역점,서울 송파구 신천동 7-25,127.099371257798,37.5149209776624
맥도날드,맥도날드 석촌역점,서울 송파구 송파동 84,127.109126654708,37.5060176551338
맥도날드,맥도날드 서초GS점,서울 서초구 서초동 1536-15,127.00973866478523,37.48656717239016
맥도날드,맥도날드 구의역점,서울 광진구 자양동 216-11,127.08445684155768,37.536477341920204
맥도날드,맥도날드 방배점,서울 서초구 방배동 909-9,126.99710900507553,37.48166605186262
맥도날드,맥도날드 어린이대공원점,서울 광진구 화양동 212,127.073129185972,37.5473004981961
맥도날드,맥도날드 가락DT점,서울 송파구 가락동 193-7,127.130718150999,37.494895348221
맥도날드,맥도날드 강남삼성DT점 주차장,서울 강남구 삼성동 113-7,127.047270493262,37.5110222385403
맥도날드,신한 방배금융센터 ATM 방배역맥도널드,서울 서초구 방배동 909-9,126.99710448329158,37.481648031565925
맥도날드,맥도날드 서울둔촌DT점,서울 강동구 둔촌동 517-2,127.137276627444,37.5293314748911
맥도날드,맥도날드 굽은다리역DT점,서울 강동구 천호동 31-10,127.143098792431,37.5472508507001
맥도날드,맥도날드 상일동점,서울 강동구 상일동 502,127.175160657454,37.5496691686604
맥도날드,맥도날드 굽은다리역DT점 주차장,서울 강동구 천호동 31-10,127.143026302501,37.5472157995974
맥도날드,맥도날드 서울둔촌DT점 주차장,서울 강동구 둔촌동 517-2,127.137480186828,37.5292870890569
맥도날드,맥도날드 수유점,서울 강북구 번동 418-17,127.02595210704666,37.63789160449129
맥도날드,맥도날드 미아DT점,서울 강북구 미아동 682-12,127.021656909035,37.6181644702265
맥도날드,맥도날드 서울번동DT점,서울 강북구 번동 106,127.04527518257626,37.62117067513775
맥도날드,맥도날드 미아역점,서울 강북구 미아동 197-5,127.0261771357211,37.62696259653743
맥도날드,맥도날드 중계역점,서울 노원구 상계동 763-2,127.06216979074941,37.648313276817916
맥도날드,맥도날드 방학역DT점,서울 도봉구 도봉동 620-24,127.04337004516637,37.670084898982644
맥도날드,맥도날드 세이브존노원점,서울 노원구 하계동 284,127.0681876218237,37.636849433687495
맥도날드,맥도날드 상계DT점,서울 노원구 상계동 1022,127.056194811732,37.6724679835578
맥도날드,맥도날드 과학기술대점,서울 노원구 공릉동 435-2,127.076291347229,37.6298221908143
맥도날드,맥도날드 종암SKDT점,서울 성북구 종암동 10-15,127.035917942119,37.5957515749764
맥도날드,맥도날드 중계점,서울 노원구 중계동 359-14,127.07609867619487,37.650844084418154
맥도날드,맥도날드 서울태릉입구역DT점,서울 노원구 공릉동 596-10,127.075128466422,37.6202553581845
맥도날드,맥도날드 외대점,서울 동대문구 이문동 305-151,127.06185211449433,37.59588048726777
맥도날드,맥도날드 삼선점,서울 성북구 동소문동1가 32-3,127.00755208575038,37.58935074566599
맥도날드,맥도날드 안암점,서울 성북구 안암동5가 102-33,127.02926437691879,37.58440451300253
맥도날드,맥도날드 대학로점,서울 종로구 동숭동 1-34,127.002101267647,37.582865621277
맥도날드,맥도날드 중랑점,서울 중랑구 상봉동 130-166,127.075457137376,37.5935308967985
맥도날드,맥도날드 성균관대점,서울 종로구 명륜2가 197-1,126.998876900604,37.5834026267082
맥도날드,맥도날드 신내점,서울 중랑구 신내동 666,127.09503889557504,37.60656489834167
맥도날드,맥도날드 전농점,서울 동대문구 전농동 295-96,127.05775628061532,37.578114986560344
맥도날드,맥도날드 동묘점,서울 종로구 창신동 290,127.015132599751,37.5731735765721
맥도날드,맥도날드 수유점 주차장,서울 강북구 번동 418-22,127.02623761396579,37.637878026569744
맥도날드,맥도날드 서울번동DT점 주차장,서울 강북구 번동 106,127.045259313449,37.6211526614751
맥도날드,맥도날드 미아DT점 주차장,서울 강북구 미아동 682-12,127.021711234874,37.6180166982048
맥도날드,맥도날드 방학역DT점 주차장,서울 도봉구 도봉동 620-25,127.043296448011,37.6702200730293
맥도날드,맥도날드 상계DT점 주차장,서울 노원구 상계동 1022,127.05623884787,37.6722418166794
맥도날드,맥도날드삼선점 개방화장실,서울 성북구 동소문동1가 29-3,127.00750454133863,37.58944985786768
맥도날드,맥도날드 등촌DT점,서울 강서구 등촌동 630,126.859727620441,37.5583040736413
맥도날드,맥도날드 염창DT점,서울 강서구 염창동 280-11,126.871566161306,37.5476569432952
맥도날드,맥도날드 우장산DT점,서울 강서구 화곡동 1026,126.83747836513412,37.545125488746436
맥도날드,맥도날드 송정역점,서울 강서구 공항동 45-38,126.809676409986,37.5616938247956
맥도날드,맥도날드 신월DT점,서울 양천구 신월동 199-3,126.83095181926853,37.53142203806361
맥도날드,맥도날드 목동점,서울 양천구 신정동 899-6,126.86373241338259,37.528149629058746
맥도날드,맥도날드 신월남부DT점,서울 양천구 신월동 525-1,126.83871442940706,37.51972888782668
맥도날드,맥도날드 양평SK DT점,서울 영등포구 양평동3가 80-2,126.893457396957,37.5308588619941
맥도날드,맥도날드 서울상암DMC점,서울 마포구 상암동 1602,126.88995304722175,37.580469959324276
맥도날드,맥도날드 망원점,서울 마포구 망원동 377-19,126.90977742489936,37.556096830594846
맥도날드,맥도날드 합정메세나폴리스점,서울 마포구 서교동 490,126.913473125232,37.5507188385582
맥도날드,맥도날드 부천원종DT점,경기 부천시 오정구 원종동 376-6,126.804408201853,37.5177741429459
맥도날드,맥도날드 고척DT점,서울 구로구 고척동 73-20,126.86355910584498,37.497200859037186
맥도날드,맥도날드 영등포점,서울 영등포구 영등포동3가 10-4,126.90767534775247,37.516982785480984
맥도날드,맥도날드 신도림테크노점,서울 구로구 구로동 3-25,126.8907012687388,37.506907688694334
맥도날드,맥도날드 여의도점,서울 영등포구 여의도동 23,126.925934554003,37.52598765293301
